Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/analyze,5,0,150000,131587.74053999223,99574.74119999097,153920.02349998802,930.6,0.03247785773848032,0.0,150000,153000,153000,154000,154000,154000,154000,154000,154000,154000,154000
,Aggregated,5,0,150000,131587.74053999223,99574.74119999097,153920.02349998802,930.6,0.03247785773848032,0.0,150000,153000,153000,154000,154000,154000,154000,154000,154000,154000,154000
