Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/analyze,5,0,79000,87660.00584001304,65445.78970002476,127327.46770000085,929.8,0.02940115717371036,0.0,79000,100000,100000,127000,127000,127000,127000,127000,127000,127000,127000
,Aggregated,5,0,79000,87660.00584001304,65445.78970002476,127327.46770000085,929.8,0.02940115717371036,0.0,79000,100000,100000,127000,127000,127000,127000,127000,127000,127000,127000
